Feature,Gain,Cover,Frequency,Horizon,Horizon_number,Component
barangayPARI-AN,1.7277489791146737e-4,2.5605946121792306e-4,4.71253534401508e-4,H+0,0,XGBoost classifier
barangayERMITA (POB.),1.7050866360797149e-4,9.383853802382046e-4,6.283380458686773e-4,H+0,0,XGBoost classifier
barangayCAPITOL SITE (POB.),1.613629872751719e-4,3.194511245474753e-4,7.854225573358467e-4,H+0,0,XGBoost classifier
barangayTEJERO (VILLA GONZALO),1.5013962208246197e-4,4.4744383100475406e-5,4.71253534401508e-4,H+0,0,XGBoost classifier
barangayPASIL,1.48047683847245e-4,6.160650244317305e-5,3.1416902293433867e-4,H+0,0,XGBoost classifier
barangayKASAMBAGAN,1.420262105801232e-4,4.826901945180606e-4,4.71253534401508e-4,H+0,0,XGBoost classifier
barangayQUIOT PARDO,1.4139945830427263e-4,1.7515229660178166e-4,4.71253534401508e-4,H+0,0,XGBoost classifier
barangayT. PADILLA,1.4137517710446503e-4,0.0012821345710767003,6.283380458686773e-4,H+0,0,XGBoost classifier
barangayLUSARAN,1.399992754843459e-4,5.5746640983296034e-5,3.1416902293433867e-4,H+0,0,XGBoost classifier
barangayBUSAY (POB.),1.2562222841784707e-4,2.1742455153742768e-4,4.71253534401508e-4,H+0,0,XGBoost classifier
barangayTAPTAP,1.1234888026033605e-4,5.274239868646303e-4,3.1416902293433867e-4,H+0,0,XGBoost classifier
barangaySUDLON II,1.069431363751839e-4,0.0011626025723804312,4.71253534401508e-4,H+0,0,XGBoost classifier
barangayBABAG,8.66535015307686e-5,0.0010746580223967765,4.71253534401508e-4,H+0,0,XGBoost classifier
barangayTISA,5.992991034331593e-5,8.674662131269759e-4,3.1416902293433867e-4,H+0,0,XGBoost classifier
barangaySAMBAG II (POB.),5.341996100260401e-5,9.020054247095686e-4,3.1416902293433867e-4,H+0,0,XGBoost classifier
barangaySUDLON I,5.1416844607590346e-5,7.376585471617793e-4,3.1416902293433867e-4,H+0,0,XGBoost classifier
barangayCAMPUTHAW (POB.),4.885267282473167e-5,6.919001244634837e-6,1.5708451146716933e-4,H+0,0,XGBoost classifier
barangaySAMBAG I (POB.),3.7313153746862226e-5,3.2603739180155085e-6,1.5708451146716933e-4,H+0,0,XGBoost classifier
barangayDULJO (POB.),3.105096073924402e-5,3.0977330299491513e-4,1.5708451146716933e-4,H+0,0,XGBoost classifier
barangaySUBA POB. (SUBA SAN NICOLAS),2.964619422343521e-5,1.0102463617521881e-5,1.5708451146716933e-4,H+0,0,XGBoost classifier
barangayPAMUTAN,2.654821320176736e-5,4.497791892503836e-4,1.5708451146716933e-4,H+0,0,XGBoost classifier
barangayPAHINA CENTRAL (POB.),2.352288031861689e-5,2.79842976098404e-5,1.5708451146716933e-4,H+0,0,XGBoost classifier
barangayAPAS,5.976792555911181e-6,8.643387394135352e-6,1.5708451146716933e-4,H+0,0,XGBoost classifier
barangayINAYAWAN,2.731981852640223e-6,2.088047959755622e-6,1.5708451146716933e-4,H+0,0,XGBoost classifier
barangayPUNTA PRINCESA,2.7087467816225004e-6,3.441344052594558e-5,1.5708451146716933e-4,H+0,0,XGBoost classifier
