"Feature","Gain","Cover","Frequency","forecast_horizon_label","model_part"
"u_component_of_wind_10m_lag8",0.00220686715070969,0.00301535966548388,0.0087463556851312,"H+1","regressor"
"neighbor_env_wind_speed_10m_mean_lag15",0.00212480394245528,0.00213135079215923,0.00444259336387616,"H+1","regressor"
"wind_speed_10m_lag14",0.00212053076510927,0.00123145985842407,0.00819103151464668,"H+1","regressor"
"neighbor_env_rainfall_mean_lag4",0.00208656980566285,0.00101044406826005,0.00513674857698181,"H+1","regressor"
"neighbor_env_v_component_of_wind_10m_mean_rollmean_lag1_w8",0.00204480241507672,0.00161980729987873,0.00430376232125503,"H+1","regressor"
"v_component_of_wind_10m_rollmean_lag1_w8",0.00198642239398521,0.000696711547913682,0.00513674857698181,"H+1","regressor"
"city_env_rainfall_mean_lag4",0.00196688527857595,0.00615154483498717,0.00652505900319311,"H+1","regressor"
"neighbor_env_v_component_of_wind_10m_mean_rollmean_lag1_w4",0.00192553177337442,0.00111450081878868,0.00430376232125503,"H+1","regressor"
"neighbor_env_temp_c_mean_lag14",0.00189738809536095,0.000421788437624776,0.00596973483270859,"H+1","regressor"
"wind_speed_10m_rollmean_lag1_w4",0.00187883314352494,0.0013036559773202,0.00735804525891989,"H+1","regressor"
"neighbor_env_temp_c_mean_lag15",0.00186854991379909,0.000504365500678335,0.00624739691795085,"H+1","regressor"
"neighbor_env_temp_c_mean_rollmean_lag1_w8",0.00186820732725785,0.000818098021024699,0.0055532417048452,"H+1","regressor"
"neighbor_env_wind_speed_10m_mean_rollmean_lag1_w8",0.00184758717361547,0.000636868812884145,0.00610856587532972,"H+1","regressor"
"barangayT. PADILLA",0.00175799111052405,0.00857097436742215,0.0041649312786339,"H+1","regressor"
"percent_open_forest",0.00175726086953072,0.00160216994908482,0.00388726919339164,"H+1","regressor"
"v_component_of_wind_10m_rollmean_lag1_w4",0.00163392566561671,0.0018071468487697,0.00638622796057198,"H+1","regressor"
"rainfall_lag4",0.0016182369272842,0.00050395532972964,0.0055532417048452,"H+1","regressor"
"wind_speed_10m_rollmean_lag1_w8",0.00150626693505001,0.00270936007390557,0.00569207274746633,"H+1","regressor"
"barangayTO-ONG PARDO",0.00123207306112258,0.000332184181111948,0.0027766208524226,"H+1","regressor"
"barangaySAMBAG I (POB.)",0.00121804611398019,0.0113389466635112,0.00430376232125503,"H+1","regressor"
"barangayBASAK PARDO",0.00112755062918314,0.000292964600105794,0.000971817298347911,"H+1","regressor"
"barangayPAHINA SAN NICOLAS",0.00090974498594254,0.00644566756483046,0.00180480355407469,"H+1","regressor"
"barangayLUSARAN",0.000818372877465089,0.00226959649764678,0.00236012772455921,"H+1","regressor"
"barangayADLAON",0.000792997002946613,0.00130166544183388,0.00236012772455921,"H+1","regressor"
"neighbor_env_wind_speed_10m_mean_lag14",0.000751749565777504,0.000427772107935158,0.00402610023601277,"H+1","regressor"
"barangayGUADALUPE",0.000672532281664383,0.00107903912750366,0.00069415521310565,"H+1","regressor"
"percent_grassland",0.000565684979291481,0.000329312984471079,0.000971817298347911,"H+1","regressor"
"barangayPAHINA CENTRAL (POB.)",0.000505356959368843,9.97861471216239e-05,0.00166597251145356,"H+1","regressor"
"percent_fishpond",0.000406069622998084,0.000505710620113028,0.00055532417048452,"H+1","regressor"
"barangayCOGON RAMOS (POB.)",0.000403043119131893,9.44177332342851e-05,0.00069415521310565,"H+1","regressor"
"barangayCARRETA",0.000357112976383702,0.00368826320259607,0.00111064834096904,"H+1","regressor"
"barangayPAMUTAN",0.000354663200939443,0.00356436141646143,0.00111064834096904,"H+1","regressor"
